speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Ficus arnottiana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus aspera,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus asperifolia,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus asperiuscula,,,,,,,Tree,,,,,,,,,,,,,
Ficus asperula,,,,,,,,,,,,,W,,,,,,,
Ficus assimilis,,,,,,,tree,,,,,,woody,,,,,,,
Ficus atricha,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus aurata,,,,,,,tree,,,,,,W,,,,,,,
Ficus aurea,,,,,,,tree,,,,,,woody,,,,,,,
Ficus aureocordata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus auricoma,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus auriculata,,,,,,,tree,,,,perennial,,W,,,,,,,
Ficus aurita,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus austrina,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus austrocaledonica,,,,,,,T,,,,,,W,,,,,,,
Ficus badiopurpurea,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus bakeri,,,,,,,Climber,,,,,,,,,,,,,
Ficus balete,,,,,,,woody,,,,,,W,,,,,,,
Ficus balica,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus bambusifolia,,,,,,,,,,,,,W,,,,,,,
Ficus banahaensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus barba-jovis,,,,,,,Climber,,,,,,,,,,,,,
Ficus barclayana,,,,,,,T,,,,,,W,,,,,,,
Ficus barteri,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus bataanensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus beccarii,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus beddomei,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus benghalensis,,,,,,,tree,,,False,,,W,,,,,,,
Ficus benguetensis,,,,,,,tree,,,,,,woody,,,,,,,
Ficus benjamina,,,,,,,tree,,,,perennial,,W,,,,,,,
Ficus bernaysii,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus binnendijkii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus bivalvata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus bizanae,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus boanensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus boliviana,,,,,,,tree,,,,,,woody,,,,,,,
Ficus borneensis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus botryocarpa,,,,,,,woody,,,,,,W,,,,,,,
Ficus botryoides,,,,,,,T,,,,,,,,,,,,,
Ficus bougainvillei,,,,,,,woody,,,,,,woody,,,,,,,
Ficus brachyclada,,,,,,,T,,,,,,,,,,,,,
Ficus brachypoda,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus bracteata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus brevibracteata,,,,,,,tree,,,,,,woody,,,,,,,
Ficus broadwayi,,,,,,,Tree,,,,,,,,,,,,,
Ficus bruneiensis,,,,,,,tree,,,,,,woody,,,,,,,
Ficus brunneo-aurata,,,,,,,T,,,,,,woody,,,,,,,
Ficus bubu,,,,,,,tree,,,,,,woody,,,,,,,
Ficus bullenei,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus burtt-davyi,,,,,,,climber,,,,,,non-woody,,,,,,,
Ficus bussei,,,,,,,tree,,,,,,woody,,,,,,,
Ficus caballina,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus cahuitensis,,,,,,,Tree,,,,,,,,,,,,,
Ficus calcarata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus calcicola,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus caldasiana,,,,,,,Tree,,,,,,,,,,,,,
Ficus calimana,,,,,,,Tree,,,,,,W,,,,,,,
Ficus callophylla,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus callosa,,,,,,,tree,,,,perennial,,W,,,,,,,
Ficus calopilina,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus calyculata,,,,,,,Tree,,,,,,,,,,,,,
Ficus calyptroceras,,,,,,,Tree,,,,,,,,,,,,,
Ficus camptandra,,,,,,,Climber,,,,,,,,,,,,,
Ficus capreifolia,,,,,,,shrub,,,,,,W,,,,,,,
Ficus carchiana,,,,,,,Tree,,,,,,,,,,,,,
Ficus carica,,,,,,,tree / shrub,,0.5,False,100.0,,w,,,,,,,
Ficus carinata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus carpenteriana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus casapiensis,,,,,,,tree,,,,,,woody,,,,,,,
Ficus casearioides,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cassidyana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus castellviana,,,,,,,tree,,,,,,woody,,,,,,,
Ficus catappifolia,,,,,,,woody,,,,,,W,,,,,,,
Ficus cataupi,,,,,,,SLT,,,,,,woody,,,,,,,
Ficus caulocarpa,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus cauta,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cavernicola,,,,,,,Climber,,,,,,,,,,,,,
Ficus celebensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cereicarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cervantesiana,,,,,,,Tree,,,,,,,,,,,,,
Ficus chartacea,,,,,,,T,,,,,,woody,,,,,,,
Ficus chirindensis,,,,,,,tree,,,,,,woody,,,,,,,
Ficus chrysochaete,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus chrysolepis,,,,,,,woody,,,,,,W,,,,,,,
Ficus cinnamomea,,,,,,,Climber,,,,,,,,,,,,,
Ficus citrifolia,,,,,,,hemiepiphyte,,,,,,woody,,,,,,,diffuse-porous
Ficus coerulescens,,,,,,,Tree,,,,,,W,,,,,,,
Ficus colubrinae,,,,,,,tree,,,,Perennial,,woody,,,,,,,
Ficus comitis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus complexa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus concinna,,,,,,,tree,,,,,,woody,,,,,,,
Ficus congesta,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus conocephalifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus conraui,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus consociata,,,,,,,woody,,,,,,W,,,,,,,
Ficus copiosa,,,,,,,woody,,,,,,W,,,,,,,
Ficus cordata,,,,,,,tree,,,,,,W,,,,,,,
Ficus cordatula,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus corneri,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus coronata,,,,,,,shrub,,,,60.0,,woody,,,,,,,
Ficus coronulata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus costaricana,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus costata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus cotinifolia,,,,,,,Tree,,,,,,W,,,,,,,
Ficus crassipes,,,,,,,woody,,,,,,woody,,,,,,,
Ficus crassiramea,,,,,,,Tree,,,,,,,,,,,,,
Ficus crassiuscula,,,,,,,Tree,,,,,,W,,,,,,,
Ficus crassivenosa,,,,,,,Tree,,,,,,,,,,,,,
Ficus craterostoma,,,,,,,tree,,,,,,woody,,,,,,,
Ficus crocata,,,,,,,Tree,,,,,,,,,,,,,
Ficus cryptosyce,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cuatrecasasiana,,,,,,,Tree,,,,,,,,,,,,,
Ficus cucurbitina,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus cumingii,,,,,,,woody,,,,,,woody,,,,,,,
Ficus cundinamarcensis,,,,,,,Tree,,,,,,,,,,,,,
Ficus cupulata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus curtipes,,,,,,,tree,,,,,,woody,,,,,,,
Ficus cuspidata,,,,,,,woody,,,,,,W,,,,,,,
Ficus cyathistipula,,,,,,,tree,,,,,,woody,,,,,,,
Ficus cyathistipuloides,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus cynaroides,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus cyrtophylla,,,,,,,no,,,,perennial,,woody,,,,,,,
Ficus dammaropsis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus davidsoniae,,,,,,,Tree,,,,,,,,,,,,,
Ficus decipiens,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus delosyce,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus deltoidea,,,,,,,liana,,,,perennial,,woody,,,,,,,
Ficus dendrocida,,,,,,,Tree,,,,,,W,,,,,,,
Ficus densifolia,,,,,,,tree,,,,,,woody,,,,,,,
Ficus depressa,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus destruens,,,,,,,woody,,,,,,woody,,,,,,,
Ficus detonsa,,,,,,,Climber,,,,,,,,,,,,,
Ficus devestiens,,,,,,,Climber,,,,,,,,,,,,,
Ficus diamantiphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus diandra,,,,,,,Climber,,,,,,,,,,,,,
Ficus dicranostyla,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus dimorpha,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus dissipata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus distichoidea,,,,,,,Climber,,,,,,,,,,,,,
Ficus donnell-smithii,,,,,,,tree,,,,,,woody,,,,,,,
Ficus drupacea,,,,,,,Tree,,,,,,W,,,,,,,
Ficus dugandii,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus dulciaria,,,,,,,Tree,,,,,,,,,,,,,
Ficus edanoi,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus edelfeltii,,,,,,,Free-standing,,,,,,W,,,,,,,
Ficus elastica,,,,,,,tree,,,False,,,W,,,,,,,
Ficus elasticoides,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus elmeri,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus endochaete,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus endospermifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus enormis,,,,,,,Tree,,,,,,,,,,,,,
Ficus erecta,,,,,,,Tree,,,,,,W,,,,,,,
Ficus erinobotrya,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus erythrosperma,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus eumorpha,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus eustephana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus exasperata,,,,,,,shrub,,,,,,W,,,,,,,
Ficus excavata,,,,,,,Climber,,,,,,,,,,,,,
Ficus eximia,,,,,,,Tree,,,,,,W,,,,,,,
Ficus fergusonii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus fischeri,,,,,,,tree,,,,,,woody,,,,,,,
Ficus fiskei,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus fistulosa,,,,,,,tree,,,,,,woody,,,,,,,
Ficus flagellaris,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus floccifera,,,,,,,Climber,,,,,,,,,,,,,
Ficus floresana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus formosana,,,,,,,S,,,,,,woody,,,,,,,
Ficus forstenii,,,,,,,woody,,,,,,W,,,,,,,
Ficus francisci,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus francoae,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus fraseri,,,,,,,tree,,,,,,woody,,,,,,,
Ficus fulva,,,,,,,no,,,,no,,woody,,,,,,,
Ficus fulvo-pilosa,,,,,,,T,,,,,,,,,,,,,
Ficus funiculicaulis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus funiculosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus fuscata,,,,,,,Climber,,,,,,,,,,,,,
Ficus gamostyla,,,,,,,Climber,,,,,,,,,,,,,
Ficus garcia-barrigae,,,,,,,Tree,,,,,,,,,,,,,
Ficus geniculata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus geocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus geocharis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus gigantifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus gigantosyce,,,,,,,Tree,,,,,,,,,,,,,
Ficus gilapong,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus glaberrima,,,,,,,Tree,,,,,,woody,,,,,,,
Ficus glabristipulata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus glandifera,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus glareosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus globosa,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus glumosa,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus goldmanii,,,,,,,Tree,,,,Perennial,,woody,,,,,,,
Ficus gomelleira,,,,,,,tree,,,,,,woody,,,,,,,
Ficus goniophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus gracillima,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus grandiflora,,,,,,,Climber,,,,,,,,,,,,,
Ficus gratiosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus greenwoodii,,,,,,,Free-standing,,,,,,W,,,,,,,
Ficus grevei,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus grewiifolia,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus grossularioides,,,,,,,tree,,,,,,woody,,,,,,,
Ficus gryllus,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus guangxiensis,,,,,,,Climber,,,,,,,,,,,,,
Ficus gul,,,,,,,woody,,,,,,woody,,,,,,,
Ficus gymnorygma,,,,,,,Climber,,,,,,,,,,,,,
Ficus habrophylla,,,,,,,,,,,,,W,,,,,,,
Ficus hadroneura,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus hahliana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus halmaherae,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus hartwegii,,,,,,,Tree,,,,,,W,,,,,,,
Ficus hatschbachii,,,,,,,Tree,,,,,,,,,,,,,
Ficus hebetifolia,,,,,,,Epiphyte,,,,,,,,,,,,,
Ficus hederacea,,,,,,,Climber,,,,,,,,,,,,,
Ficus hemsleyana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus henryi,,,,,,,tree,,,,no,,woody,,,,,,,
Ficus hesperidiiformis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus heteromorpha,,,,,,,yes,,,,no,,woody,,,,,,,
Ficus heterophylla,,,,,,,Free-standing,,,,,,W,,,,,,,
Ficus heteropleura,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus heteropoda,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus hispida,,,,,,,Tree,,,,,,W,,,,,,,
Ficus hombroniana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus hondurensis,,,,,,,Tree,,,,,,,,,,,,,
Ficus hookeriana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus humbertii,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus hypobrunnea,,,,,,,Climber,,,,,,,,,,,,,
Ficus hypophaea,,,,,,,Climber,,,,,,,,,,,,,
Ficus ihuensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus iidana,,gynodioecy,,,,,,,,,,,,,,,,,,
Ficus ilicina,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus illiberalis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus imbricata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus immanis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus inaequifolia,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus inaequipetiolata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus indigofera,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus ingens,,,,,,,tree,,,,,,W,,,,,,,
Ficus insculpta,,,,,,,Climber,,,,,,woody,,,,,,,
Ficus insipida,,,,,,,tree,,,,,,woody,,,,,,,diffuse-porous
Ficus involucrata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus iodotricha,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus ischnopoda,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus itoana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus ixoroides,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus jacobii,,,,,,,Tree,,,,,,,,,,,,,
Ficus jacobsii,,,,,,,Climber,,,,,,,,,,,,,
Ficus jimiensis,,,,,,,Climber,,,,,,,,,,,,,
Ficus johannis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus juglandiformis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus kamerunensis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus kerkhovenii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus kjellbergii,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus kochummeniana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus kofmaniae,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus krukovii,,,,,,,Epiphyte/Hemiepiphyte,,,,,,,,,,,,,
Ficus kuchinensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus kurzii,,,,,,,Shrub,,,,,,,,,,,,,
Ficus lacor,,,,,,,woody,,,,,,W,,,,,,,
Ficus lacunata,,,,,,,Tree,,,,,,,,,,,,,
Ficus lamponga,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lanata,,,,,,,vine,,,,,,woody,,,,,,,
Ficus lancibracteata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus langkokensis,,,,,,,Tree,,,,,,W,,,,,,,
Ficus lapathifolia,,,,,,,Tree,,,,,,woody,,,,,,,
Ficus lasiocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lasiosyce,,,,,,,Tree,,,,,,,,,,,,,
Ficus latimarginata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lauretana,,,,,,,tree,,,,,,woody,,,,,,,
Ficus laurifolia,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus lawesii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus leiophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lepicarpa,,,,,,,woody,,,,,,woody,,,,,,,
Ficus leptocalama,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus leptoclada,,,,,,,woody,,,,,,W,,,,,,,
Ficus leptodictya,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus leptogramma,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lilliputiana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus limosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus linearifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lingua,,,,,,,tree,,,,,,woody,,,,,,,
Ficus litseifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus longibracteata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus lowii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus luschnathiana,,,,,,,Tree,,,,,,woody,,,,,,,
Ficus lutea,,,,,,,tree,,,,,,woody,,,,,,,
Ficus lyrata,,,,,,,tree,,,,,,woody,,,,,,,
Ficus macbridei,,,,,,,hemiepiphyte,,,,,,woody,,,,,,,
Ficus macilenta,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus maclellandii,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus macrophylla,,,,,,,tree,,,,100.0,,woody,,,,,,,
Ficus macrorrhyncha,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus macrostyla,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus macrothyrsa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus madagascariensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus magnoliifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus manuselensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus mariae,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus marmorata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus maroma,,,,,,,Tree,,,,,,,,,,,,,
Ficus matanoensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus mathewsii,,,,,,,tree,,,,,,woody,,,,,,,
Ficus matiziana,,,,,,,Tree,,,,,,,,,,,,,
Ficus mauritiana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus maxima,,,,,,,tree,,,,,,woody,,,,,,,
Ficus megaleia,,,,,,,T,,,,,,,,,,,,,
Ficus megalophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus melinocarpa,,,,,,,woody,,,,,,W,,,,,,,
Ficus membranacea,,,,,,,Tree,,,,,,,,,,,,,
Ficus menabeensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus microcarpa,,,,,,,Tree,,,,perennial,,woody,,,,,,,
Ficus microdictya,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus microsphaera,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus microsyce,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus midotis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus minahassae,,,,,,,woody,,,,,,W,,,,,,,
Ficus miqueliana,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus mollicula,,,,,,,Shrub/Tree,,,,,,,,,,,,,
Ficus mollior,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus mollis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus mollissima,,,,,,,woody,,,,,,W,,,,,,,
Ficus montana,,,,,,,woody,,,,,,woody,,,,,,,
Ficus morobensis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus mucuso,,,,,,,Tree,,,,,,W,,,,,,,
Ficus muelleriana,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus multistipularis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus mutisii,,,,,,,Tree,,,,,,,,,,,,,
Ficus myiopotamica,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus nana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus nasuta,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus natalensis,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus neriifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus nervosa,,,,,,,woody,,,,,,W,,,,,,,
Ficus nigropunctata,,,,,,,shrub,,,,,,woody,,,,,,,
Ficus nota,,,,,,,Tree,,,,,,,,,,,,,
Ficus novae-georgiae,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus novahibernica,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus numphaeifolia,,,,,,,Tree,,,,,,,,,,,,,
Ficus nymphaeifolia,,,,,,,hemiepiphyte,,,,,,woody,,,,,,,
Ficus obliqua,,,,,,,tree,,,,1000.0,,woody,,,,,,,
Ficus obpyramidata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus obscura,,,,,,,tree,,,,,,woody,,,,,,,
Ficus obtusifolia,,,,,,,hemiepiphyte,,,,,,woody,,,,,,,
Ficus obtusiuscula,,,,,,,Tree,,,,,,,,,,,,,
Ficus odorata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus oleifolia,,,,,,,Epiphyte,,,,,,,,,,,,,
Ficus oleracea,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus opposita,,,,,,,tree,,,,,,W,,,,,,,
Ficus oreodryadum,,,,,,,Tree,,,,,,W,,,,,,,
Ficus orthoneura,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus osensis,,,,,,,Tree,,,,,,,,,,,,,
Ficus ottoniifolia,,,,,,,climber,,,,,,woody,,,,,,,
Ficus ovatacuta,,,,,,,Climber,,,,,,,,,,,,,
Ficus oxymitroides,,,,,,,Climber,,,,,,,,,,,,,
Ficus pachyclada,,,,,,,T,,,,,,woody,,,,,,,
Ficus pachyrrhachis,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus pachysycia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus padana,,,,,,,woody,,,,,,W,,,,,,,
Ficus pallescens,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus pallida,,,,,,,Tree,,,,,,,,,,,,,
Ficus palmata,,,,,,,Tree (deciduous),,,,,,,,,,,,,
Ficus paludica,,,,,,,Shrub,,,,,,,,,,,,,
Ficus pandurata,,,,,,,no,,,,no,,,,,,,,,
Ficus pantoniana,,,,,,,Climber,,,,,,,,,,,,,
Ficus panurensis,,,,,,,Tree,,,,,,,,,,,,,
Ficus papuana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus paracamptophylla,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus paraensis,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus parietalis,,,,,,,S,,,,,,woody,,,,,,,
Ficus parvibracteata,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus pastasana,,,,,,,Tree,,,,,,,,,,,,,
Ficus patellata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus pedunculosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus pellucidopunctata,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus pendens,,,,,,,Climber,,,,,,,,,,,,,
Ficus perfulva,,,,,,,Climber,,,,,,,,,,,,,
Ficus pertusa,,,,,,,hemiepiphyte,,,,Perennial,,woody,,,,,,,
Ficus petiolaris,,,,,,,Tree,,,,,,woody,,,,,,,
Ficus phaeobullata,,,,,,,Climber,,,,,,,,,,,,,
Ficus phaeosyce,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus phanrangensis,,,,,,,Hemi-epiphyte,,,,,,,,,,,,,
Ficus phatnophylla,,,,,,,Climber,,,,,,,,,,,,,
Ficus pilulifera,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus pisocarpa,,,,,,,epiphyte,,,,,,woody,,,,,,,
Ficus platypoda,,,,,,,tree,,,,,,W,,,,,,,
Ficus pleiadenia,,,,,,,Climber,,,,,,,,,,,,,
Ficus pleurocarpa,,,,,,,woody,,,,,,W,,,,,,,
Ficus pleyteana,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus podocarpifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus polita,,,,,,,tree,,,,,,woody,,,,,,,
Ficus politoria,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus polyantha,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus polyphlebia,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus popenoei,,,,,,,Hemi-epipjyte,,,,,,woody,,,,,,,
Ficus porphyrochaete,,,,,,,Free-standing,,,,,,,,,,,,,
Ficus porrecta,,,,,,,Free-standing,,,,,,,,,,,,,
